,head,variable,value,prob
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi179,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi526,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1270,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1407,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1043,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1042,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi738,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi175,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1398,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi622,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi969,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1639,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1325,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1078,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi765,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi467,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi948,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi755,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi614,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1655,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1732,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1623,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2058,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi93,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1682,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi492,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1593,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi787,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1284,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi940,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi469,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi436,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi444,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1932,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1741,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi864,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1330,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1454,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1870,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi918,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1975,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi448,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1577,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi578,0.060606060606060615
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1407,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1398,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi523,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1834,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi738,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi969,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi526,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1325,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1870,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1399,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi126,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1264,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1539,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1691,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1284,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1975,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi918,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi765,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1301,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1732,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1095,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi455,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1276,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi175,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi436,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi469,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1132,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1932,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi599,0.13131313131313133
