,head,variable,value,prob
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi199,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2013,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1431,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi611,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi456,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi565,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1871,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi497,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1767,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi816,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1115,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1288,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1036,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi579,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi953,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1709,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1855,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi379,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi845,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1048,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1371,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1712,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi132,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi475,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1581,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi320,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi489,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi597,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi363,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi608,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi655,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi682,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi647,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1497,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi367,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1410,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi63,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi430,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi825,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi718,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi477,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1929,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1874,0.060606060606060615
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi771,0.060606060606060615
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi611,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1767,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1273,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi319,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1871,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1115,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi2013,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1036,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi825,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi642,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi956,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1553,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi190,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi7,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi363,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi477,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi718,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi953,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1336,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1371,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi561,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi842,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1564,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi497,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi682,0.13131313131313133
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi655,0.13131313131313133
