,head,variable,value
0,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1927
1,Course2_W6-S2-L2_Charniaks_Model_18-23,level,level_3
2,Course2_W8-S2-L5_Advanced-_Answering_Complex_Questions_4-52,level,level_3
3,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi63
4,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,level,level_2
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1655
6,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1129
7,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi582
8,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,level,level_2
9,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi863
10,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1579
11,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1786
12,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1642
13,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1203
14,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi363
15,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,level,level_1
16,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,level,level_1
17,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1183
18,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi2023
19,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi463
20,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1642
21,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi173
22,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2023
23,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1424
24,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,level,level_3
25,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1630
26,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,prerequisite,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24
27,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1149
28,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1218
29,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,level,level_1
30,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi663
31,Course1_W10-S1-L2_Recap_of_GLMs_7-40,prerequisite,Course1_W10-S1-L1_Introduction_1-02
32,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,prerequisite,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23
33,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi663
34,Course1_W8-S1-L7_An_Example_Application_9-28,prerequisite,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37
35,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,prerequisite,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05
36,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,prerequisite,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23
37,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,prerequisite,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20
38,Course1_W10-S1-L1_Introduction_1-02,level,level_1
39,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1672
40,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1033
41,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1779
42,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1688
43,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1390
44,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi702
45,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi622
46,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,level,level_3
47,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi582
48,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi605
49,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi483
50,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi1674
51,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1677
52,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi2034
53,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi622
54,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi19
55,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi771
56,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi799
57,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1218
58,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,prerequisite,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22
59,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,concept_vocab_index,vi159
60,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1579
61,Course1_W9-S2-L1_Introduction_0-30,prerequisite,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28
62,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,level,level_2
