,head,variable,value
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,"[0, 2, 4]"
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,"[1, 2, 4, 9]"
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,"[1, 2, 4, 5, 7, 10]"
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,"[1, 2, 4, 12, 13]"
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,"[1, 4, 7]"
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,l_text_topics,"[1, 10]"
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,"[1, 4, 10, 11, 12]"
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,"[1, 4]"
8,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,"[1, 10, 14]"
9,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,"[4, 10, 14]"
10,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,"[10, 12, 14]"
11,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,l_text_topics,"[10, 14]"
12,Course1_W1-S3-L5_Summary_2-31,l_text_topics,"[1, 4, 10, 14]"
13,Course1_W10-S1-L1_Introduction_1-02,l_text_topics,[4]
14,Course1_W10-S1-L2_Recap_of_GLMs_7-40,l_text_topics,"[4, 5, 12]"
15,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,"[0, 3, 4]"
16,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,l_text_topics,[4]
17,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06,l_text_topics,[4]
18,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,"[3, 4, 5, 7]"
19,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,"[2, 4, 9]"
20,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,"[4, 7]"
21,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,"[2, 4, 7]"
22,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,[4]
