,head,variable,value,prob
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1528,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1089,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi108,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1009,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi635,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1121,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1904,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1313,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1421,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi201,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1890,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1805,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1530,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi958,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1243,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1672,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1416,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi849,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1877,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi513,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1245,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1242,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1774,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1150,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1994,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi667,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi937,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1606,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi11,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1498,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi827,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi43,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi755,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1063,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1333,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1533,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi197,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi86,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi211,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi784,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi204,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi332,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi139,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi701,0.07
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1009,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1421,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi760,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1974,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1904,0.18
