head,variable,value,prob
Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,l_text_topics,topic_12,0.31217145167812377
Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_10,0.33683784876668016
Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_2,0.9987868985038415
Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_2,0.3552365547917509
Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_2,0.0578245046502224
Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_13,0.7886170642943794
Course1_W3-S1-L1_Introduction_0-28,l_text_topics,topic_5,0.040436716538617065
Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,l_text_topics,topic_0,0.03619086130206227
Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,l_text_topics,topic_14,0.8288515972503033
Course2_W6-S2-L2_Charniaks_Model_18-23,l_text_topics,topic_13,0.025171856045289123
Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi2039,0.08
Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,concept_vocab_index,vi1220,0.01
Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,concept_vocab_index,vi1416,0.13
topic_1,concept_vocab_index,vi1740,
Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi358,0.07
Course3_W9-S1-L2_-_Summarization_Techniques_1-3_-_26_slides_19-49,concept_vocab_index,vi210,
Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,concept_vocab_index,vi1295,0.04
Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,concept_vocab_index,vi672,0.04
Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,concept_vocab_index,vi32,0.02
Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,concept_vocab_index,vi1078,0.09
