,0
0,mentions
1,babbage_c
2,considering
3,bleu_mt
4,universally_quantified
5,word_embedding
6,examples_of_ambiguity
7,calculating_cosine_scores
8,log_used
9,mel_scale
10,pronoun_example
11,anaphor
12,cosine_similarity
13,sentence_analysis
14,graph_neural_networks
15,pipe_regular_expressions
16,depend
17,channels_stored
18,ibm_model
19,deep_neural_networks
20,markov_chain_equation
21,xbar_schemata
22,recognition
23,inner_product
24,eugene_onegin
25,word
26,rdf
27,information_extraction
28,probabilistic
29,perword_rate
30,theme_thematic_role
31,universal_dependencies
32,syntactic_position
33,sdrt_segmented
34,ontology_learning
35,localization
36,fragment_word
37,general_topic_influence
38,opening_comments
39,gaussian_priors
40,maxent
41,construction_grammar
42,pdtb
43,wsd
44,relation_extraction
45,shakespeare
46,lookahead_re
47,syntactic_movement
48,approximant_sound
49,argumentative_relations
50,discount
51,semantic_parsing
52,first-order_markov
53,prosodic_phrasing
54,estimation_technique
55,flap_phonetic
56,constraint
57,tac_kbp
58,computer_understands
59,determiners
60,positional_embeddings
61,speaker_diarization
62,vso_language
63,word_relations
64,voice_user_interface
65,grammar
66,entitybased_coherence
67,whsubjectquestions
68,read_speech
69,simplified_lesk
70,whpronoun
71,viterbi_algorithm
72,clefts
73,dot_product
74,two_example_problems
75,trigram
76,aishell
77,backpropagation_through
78,parts_of_speech
79,accuracy
80,baseball_players
81,probability_estimation
82,web_data
83,third-order_markov_processes
84,application
85,ibm_thomas_j_watson
86,information_structure
87,madison_james
88,technai
89,precision_recall
90,grice's_maxims
91,skipgram_learning
92,gnn
93,glottal_stop
94,randomization
95,neural_networks
96,information_gain
97,knowledge_base
98,two
99,text_summarization
100,reverb
101,conditional_maximum
102,voiced_sound
103,examples
104,linear_interpolation
105,sensitivity_regular
106,a_sketch_of_translation
107,output_gate
108,implementation
109,tune
110,dialogue_act_correction
111,nucleus_syllable
112,random_variable_means
113,part-of-speech_tagging
114,coda_syllable
115,clarification_questions
116,moses_michelangelo_statue
117,bigrams
118,directional_adverb
119,glottis
120,entity_resolution
121,language_model
122,postediting
123,stop_consonant
124,transition_probability
125,define
126,temporal_adverb
127,nombank
128,observation_likelihood
129,training_set
130,count_nouns
131,inferencebased_learning
132,discourse_parsing
133,reasoning_fol
134,premises
135,newspaper_data
136,kl_divergence
137,whword
138,freebase
139,decision_tree
140,modus_ponens
141,gloss
142,velar_sound
143,io
144,aal
145,conversational_analysis
146,speaker_recognition
147,ad_conversion
148,linguistic_achievement
149,rosetta_stone
150,naive_bayes_assumption
151,taggit
152,bpe
153,interpolation
154,minimalist_program
155,joint_probability
156,bootstrap_algorithm
157,bridging_inference
158,referent
159,underlying_data_distribution
160,languages
161,boundary_tones
162,taking
163,discourse_representation
164,schankian
