,model_name,epochs,batches_count,k,structural_wt,lr,start_loss,end_loss,mrr,mr,hits_10,hits_5,hits_3,hits_1,losses_list
0,transH_with_weights,50,5,40,0.1,0.1,4.493585935,1.244334276,0.180631997,45.0416417,0.383762732,0.259436788,0.186039545,0.085080887,"[4.493585935015108, 3.128704104047392, 2.0897795466066316, 1.7776982198234732, 1.7018474549737594, 1.6351234804886292, 1.5824839662352894, 1.5302323436009064, 1.4598759852596215, 1.4666818555681456, 1.4267513207200222, 1.403395697906727, 1.364215942072201, 1.3066930872793416, 1.301447946485369, 1.2672240745020276, 1.2737562650335958, 1.2161272898278468, 1.23986903377465, 1.233183106089973, 1.1974540419250954, 1.1925905028675652, 1.1572526849256521, 1.1899095375119275, 1.187415544737993, 1.1925516764322917, 1.1496101515287054, 1.1540957230041349, 1.1638952201862676, 1.1170507532949665, 1.1611852126570452, 1.1427210684041031, 1.1570199282114741, 1.1437404331663485, 1.1658479413913407, 1.1758714826355756, 1.1680141148069736, 1.1662529942946882, 1.176904871506242, 1.1311807647006202, 1.191687291269084, 1.1831025179409191, 1.1910591416686547, 1.1873119713392573, 1.2035825151826893, 1.203797396206067, 1.238775929846533, 1.2414727519183366, 1.2546394794648537, 1.2443342757285702]"
1,transH_with_weights,100,5,40,0.1,0.1,4.493585935,1.729869829,0.151426782,50.87207909,0.32654284,0.208508089,0.142300779,0.070101857,"[4.493585935015108, 3.128704104047392, 2.0897795466066316, 1.7776982198234732, 1.7018474549737594, 1.6351234804886292, 1.5824839662352894, 1.5302323436009064, 1.4598759852596215, 1.4666818555681456, 1.4267513207200222, 1.403395697906727, 1.364215942072201, 1.3066930872793416, 1.301447946485369, 1.2672240745020276, 1.2737562650335958, 1.2161272898278468, 1.23986903377465, 1.233183106089973, 1.1974540419250954, 1.1925905028675652, 1.1572526849256521, 1.1899095375119275, 1.187415544737993, 1.1925516764322917, 1.1496101515287054, 1.1540957230041349, 1.1638952201862676, 1.1170507532949665, 1.1611852126570452, 1.1427210684041031, 1.1570199282114741, 1.1437404331663485, 1.1658479413913407, 1.1758714826355756, 1.1680141148069736, 1.1662529942946882, 1.176904871506242, 1.1311807647006202, 1.191687291269084, 1.1831025179409191, 1.1910591416686547, 1.1873119713392573, 1.2035825151826893, 1.203797396206067, 1.238775929846533, 1.2414727519183366, 1.2546394794648537, 1.2443342757285702, 1.2521005722705947, 1.2733607013110289, 1.2628284250506918, 1.2794880874284351, 1.2918097964376591, 1.31885192715788, 1.3424079099077608, 1.329697455098004, 1.3466389973958333, 1.3673049422014154, 1.3551292516499682, 1.4154224813136131, 1.376539359444577, 1.3661945061525922, 1.42860107421875, 1.391925778765108, 1.4206683054528466, 1.427841256411021, 1.4440754276498886, 1.4991070851721533, 1.4297530390227418, 1.5027411773914598, 1.493787615050493, 1.5128680435452448, 1.491669959148378, 1.4850121573334127, 1.5127863837865776, 1.553305682699189, 1.5702615907780693, 1.5861156667461833, 1.6049030643686386, 1.627908690163804, 1.6447585554826654, 1.6189339130586038, 1.639718418266937, 1.6288993233639473, 1.6240265125536737, 1.6671311861382792, 1.6890831556635655, 1.7172816774013995, 1.7040055214297074, 1.6472405897145357, 1.6891741027055502, 1.7212319721095737, 1.696112479872376, 1.7105726246918733, 1.763988263855757, 1.7652713998886769, 1.7743764785106553, 1.7298698289400445]"
2,transH_with_weights,50,5,50,0.1,0.1,4.390795401,1.222248588,0.192721544,43.76842421,0.390952666,0.275014979,0.194727382,0.099460755,"[4.390795401459129, 2.848663594097885, 1.947759745745865, 1.737289498598521, 1.6594518142195451, 1.5873171119592875, 1.52615513304111, 1.4739428027592238, 1.4053612784271627, 1.408517681248012, 1.3595141228828722, 1.3379507283218035, 1.2897470566455949, 1.2310579955122853, 1.2284200187857826, 1.1974889857168416, 1.1979973324685909, 1.1487637507703166, 1.1672126750606313, 1.165199602044569, 1.1275737578025604, 1.132862027000835, 1.0954457678564329, 1.1275782616690522, 1.1261772485786419, 1.1304270659390903, 1.0885068937112357, 1.1054112402840728, 1.1094940263199746, 1.0698344533983382, 1.1157396311675016, 1.0957298841791905, 1.1127501354266063, 1.0984790287551687, 1.1289376838819976, 1.130356495010337, 1.1289327140982826, 1.1310593466722327, 1.1385534233112675, 1.0972167813444258, 1.1585249340261212, 1.1487315092984653, 1.1662726094097884, 1.163529521757713, 1.1739082782929786, 1.1760097202757236, 1.2140491902979882, 1.2191597431367287, 1.2362300028327766, 1.222248587960202]"
3,transH_with_weights,100,5,50,0.1,0.1,4.390795401,1.736468739,0.148944843,49.63930497,0.32654284,0.202816058,0.145596165,0.067106052,"[4.390795401459129, 2.848663594097885, 1.947759745745865, 1.737289498598521, 1.6594518142195451, 1.5873171119592875, 1.52615513304111, 1.4739428027592238, 1.4053612784271627, 1.408517681248012, 1.3595141228828722, 1.3379507283218035, 1.2897470566455949, 1.2310579955122853, 1.2284200187857826, 1.1974889857168416, 1.1979973324685909, 1.1487637507703166, 1.1672126750606313, 1.165199602044569, 1.1275737578025604, 1.132862027000835, 1.0954457678564329, 1.1275782616690522, 1.1261772485786419, 1.1304270659390903, 1.0885068937112357, 1.1054112402840728, 1.1094940263199746, 1.0698344533983382, 1.1157396311675016, 1.0957298841791905, 1.1127501354266063, 1.0984790287551687, 1.1289376838819976, 1.130356495010337, 1.1289327140982826, 1.1310593466722327, 1.1385534233112675, 1.0972167813444258, 1.1585249340261212, 1.1487315092984653, 1.1662726094097884, 1.163529521757713, 1.1739082782929786, 1.1760097202757236, 1.2140491902979882, 1.2191597431367287, 1.2362300028327766, 1.222248587960202, 1.2304433264501828, 1.2543356859046995, 1.2456073634800413, 1.263346571594704, 1.2778652666785941, 1.3086522070809479, 1.3254231770833333, 1.3134204660663167, 1.3318661134054945, 1.3576018432927799, 1.342360790145913, 1.3981140913247456, 1.367952567141778, 1.3568733040613072, 1.4236671971910781, 1.388606584466444, 1.4213757231035304, 1.4243967925015903, 1.4361967984653308, 1.499688146071883, 1.4329350672908716, 1.5067527868062183, 1.4921215261211833, 1.5109584352138994, 1.498007706892096, 1.49205549012007, 1.5172803728331743, 1.5578693108400923, 1.5759759412770356, 1.5953666395813455, 1.6070946458035147, 1.6354867095559, 1.651071920225032, 1.6230974736104484, 1.6470677033635497, 1.636199096990299, 1.6348030847447519, 1.6731569867704357, 1.6972047451494912, 1.7295332503379452, 1.7112247534987277, 1.6554444291209447, 1.6994896342736163, 1.7292344731532283, 1.7076777256778786, 1.721051165165792, 1.7757941403765107, 1.773502231432888, 1.7851980893666508, 1.7364687388179867]"
4,transH_with_weights,50,5,40,0.1,0.01,4.924452516,1.795787642,0.109547222,61.18963451,0.242360695,0.144697424,0.100659077,0.041941282,"[4.9244525162014945, 4.7189825237555665, 4.51254516290951, 4.296632350310115, 4.075924690382474, 3.8560290309915715, 3.645305977158874, 3.4313774128299936, 3.2217511902631997, 3.043462249522901, 2.8697122743718193, 2.679498617157681, 2.5006671934637406, 2.2942158240398376, 2.1589025288744432, 2.0527120109732824, 1.988434816316794, 1.9085841521052003, 1.9170515453542463, 1.931412542988629, 1.8750988055124842, 1.8660894884104644, 1.8528317827608143, 1.8793495857685274, 1.8575843869274808, 1.8672089943145673, 1.809273523228769, 1.8070342629313771, 1.8180385754611958, 1.7709451224057728, 1.814558298047869, 1.7915839197678116, 1.8148078743738072, 1.7920235903208492, 1.852630475459208, 1.8210335845559, 1.8154400929846533, 1.8109551427321884, 1.8160907619175413, 1.7665935797849077, 1.805068340738311, 1.8081779654699428, 1.8140418132752862, 1.8012176280713263, 1.7976350662969147, 1.8084430413088421, 1.8052275601840808, 1.7936071808404899, 1.8126340599157125, 1.7957876423843033]"
5,transH_with_weights,100,5,40,0.1,0.01,4.924452516,1.880318818,0.06826103,74.46015578,0.148292391,0.085979629,0.051527861,0.019173158,"[4.9244525162014945, 4.7189825237555665, 4.51254516290951, 4.296632350310115, 4.075924690382474, 3.8560290309915715, 3.645305977158874, 3.4313774128299936, 3.2217511902631997, 3.043462249522901, 2.8697122743718193, 2.679498617157681, 2.5006671934637406, 2.2942158240398376, 2.1589025288744432, 2.0527120109732824, 1.988434816316794, 1.9085841521052003, 1.9170515453542463, 1.931412542988629, 1.8750988055124842, 1.8660894884104644, 1.8528317827608143, 1.8793495857685274, 1.8575843869274808, 1.8672089943145673, 1.809273523228769, 1.8070342629313771, 1.8180385754611958, 1.7709451224057728, 1.814558298047869, 1.7915839197678116, 1.8148078743738072, 1.7920235903208492, 1.852630475459208, 1.8210335845559, 1.8154400929846533, 1.8109551427321884, 1.8160907619175413, 1.7665935797849077, 1.805068340738311, 1.8081779654699428, 1.8140418132752862, 1.8012176280713263, 1.7976350662969147, 1.8084430413088421, 1.8052275601840808, 1.7936071808404899, 1.8126340599157125, 1.7957876423843033, 1.8148516705927957, 1.8239202213044687, 1.79236607054111, 1.8127578075302162, 1.82592006227139, 1.814059518129771, 1.8446847231333492, 1.8245652371083811, 1.8289215320849237, 1.817616174906568, 1.838266216404262, 1.8539010627882475, 1.8283860689507792, 1.8045744063593352, 1.8500856977079359, 1.8163600620725986, 1.8393291288963105, 1.8434330209824268, 1.8418726020793574, 1.8683377253796916, 1.821641233798505, 1.8617982044171437, 1.846859251997853, 1.8473567273477258, 1.830917428286021, 1.816931711444418, 1.8220764626073473, 1.8499864262782284, 1.8594632136609415, 1.876372840628976, 1.8705417002127067, 1.8896380630764948, 1.8829046273656171, 1.871850710182093, 1.8731688831902036, 1.8751266363012882, 1.846698293127783, 1.8757631413505884, 1.8948436319676367, 1.882834056436864, 1.9080353947996183, 1.8404723344565044, 1.8881396422252703, 1.8883464162889632, 1.8819475402055503, 1.8764494374204834, 1.9043636254075222, 1.8897574621302482, 1.898938547381918, 1.8803188178375476]"
6,transH_with_weights,50,5,50,0.1,0.01,4.914223397,1.777733505,0.110344417,58.3858598,0.257339724,0.143199521,0.099760336,0.040143799,"[4.914223396747774, 4.6833225861760495, 4.454835599554707, 4.217829223322201, 3.976276488947201, 3.7380921497296438, 3.505820051586355, 3.2770956956703245, 3.048660332677322, 2.858569646548982, 2.666224262732586, 2.4633006321564888, 2.2680873104027515, 2.0663973665116093, 1.9991555405633747, 1.9417167372375954, 1.9151995243916984, 1.8538809351642016, 1.8752317161657124, 1.896105677480916, 1.8436978793932888, 1.8364823125397582, 1.82435075987993, 1.8501989466543416, 1.8304009745745866, 1.8449481527313931, 1.7865332838839854, 1.7871040635436546, 1.7993933757752862, 1.7527358969962628, 1.7966594977536579, 1.7739983400922392, 1.7974216451475031, 1.7753513947697996, 1.835106987018925, 1.8044637044270833, 1.798320244165474, 1.7933342154699428, 1.8000154995129611, 1.747645906637643, 1.7885206693304707, 1.7900446535066794, 1.7968157663903468, 1.7826928213959128, 1.778362897334208, 1.7902375742982666, 1.7889673286418575, 1.7769440862058683, 1.7923516892294846, 1.7777335052878498]"
7,transH_with_weights,100,5,50,0.1,0.01,4.914223397,1.868459703,0.086449778,67.54643499,0.181246255,0.111743559,0.072798083,0.031156381,"[4.914223396747774, 4.6833225861760495, 4.454835599554707, 4.217829223322201, 3.976276488947201, 3.7380921497296438, 3.505820051586355, 3.2770956956703245, 3.048660332677322, 2.858569646548982, 2.666224262732586, 2.4633006321564888, 2.2680873104027515, 2.0663973665116093, 1.9991555405633747, 1.9417167372375954, 1.9151995243916984, 1.8538809351642016, 1.8752317161657124, 1.896105677480916, 1.8436978793932888, 1.8364823125397582, 1.82435075987993, 1.8501989466543416, 1.8304009745745866, 1.8449481527313931, 1.7865332838839854, 1.7871040635436546, 1.7993933757752862, 1.7527358969962628, 1.7966594977536579, 1.7739983400922392, 1.7974216451475031, 1.7753513947697996, 1.835106987018925, 1.8044637044270833, 1.798320244165474, 1.7933342154699428, 1.8000154995129611, 1.747645906637643, 1.7885206693304707, 1.7900446535066794, 1.7968157663903468, 1.7826928213959128, 1.778362897334208, 1.7902375742982666, 1.7889673286418575, 1.7769440862058683, 1.7923516892294846, 1.7777335052878498, 1.7945058109196088, 1.8084427928196565, 1.7751294318046278, 1.7948513661935432, 1.8070916639332857, 1.7958701407939726, 1.82667009581743, 1.8065982886549778, 1.8116214354226303, 1.79996111144243, 1.8206768162074587, 1.8364010565760178, 1.8119821174757476, 1.786489674031886, 1.8323931123767494, 1.8020300013418415, 1.8221831265903308, 1.8267291119990459, 1.823486017513518, 1.85293962706743, 1.8053535131401082, 1.8438230868817589, 1.833063567261053, 1.8313145450659987, 1.8137012277850668, 1.8013462212249522, 1.807771468223203, 1.8343704961335083, 1.8427781587945293, 1.8604795654918098, 1.855293875735528, 1.8736550522821247, 1.8686240470439726, 1.8562780171556934, 1.858826522244752, 1.858643696326336, 1.8323141859991252, 1.8611628175691795, 1.8792659691575222, 1.8680421164320928, 1.8930593864305025, 1.823236938165951, 1.8714864560969307, 1.8756119667422073, 1.865754307560035, 1.8607334593173506, 1.887030044827449, 1.878347584188136, 1.8862695747356075, 1.8684597025087468]"
,,,,,,,,,,,,,,,
0,transH_without_weights,50,5,40,0.1,0.1,4.456549119,0.668136325,0.194016355,43.52958757,0.395696354,0.283024507,0.210998207,0.095038852,"[4.456549118857347, 3.057416749910544, 2.008106183156409, 1.7592812263935274, 1.6862221754234257, 1.6249749647145357, 1.5283697929091127, 1.4510815491809796, 1.4753942280931933, 1.3851264002365618, 1.3421898917084127, 1.2812172926109255, 1.245564452503777, 1.2048299619563057, 1.1712190506719147, 1.106599748528944, 1.0865598256351383, 1.0668159776061545, 1.012317593407085, 1.0050022581454756, 0.9841705865835719, 0.9403661674518925, 0.9312260673852973, 0.9285899077359653, 0.8871694783218035, 0.8885361377822837, 0.8799566137881679, 0.8849854292153706, 0.8414855646419768, 0.8048741309090728, 0.8136522443543257, 0.7998448340340728, 0.7960408839257316, 0.77498439177302, 0.777233607168416, 0.7617806859295484, 0.7642076487456266, 0.7521669965360608, 0.740664882514313, 0.724635637200819, 0.7364112756937818, 0.732051268910027, 0.7013458795523219, 0.7122719179886291, 0.7214920781647582, 0.693094237038804, 0.6855489716275047, 0.6920878247753658, 0.660148026561009, 0.6681363248946406]"
