Unnamed: 0,head,variable,value,prob
8,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,level,level_3,1
9,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,level,level_1,1
38,Course1_W7-S1-L2_Two_Example_Problems_11-19,prerequisite,Course1_W7-S1-L1_Introduction_0-47,1
47,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,prerequisite,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,1
64,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,level,level_1,1
70,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29,prerequisite,Course2_W4-S1-L5_Generative_vs,1
75,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,level,level_1,1
88,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,prerequisite,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,1
94,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,prerequisite,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,1
100,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,prerequisite,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,1
105,Course1_W3-S1-L1_Introduction_0-28,level,level_1,1
120,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,level,level_3,1
123,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,level,level_1,1
125,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,level,level_3,1
169,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,level,level_1,1
170,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,level,level_1,1
189,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,prerequisite,Course3_W6-S1-L2_-_Bayes_Theorem_-_8_slides_10-48,1
201,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,level,level_2,1
203,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,prerequisite,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,1
238,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,level,level_2,1
257,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,level,level_3,1
277,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,prerequisite,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,1
281,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,prerequisite,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,1
311,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,level,level_2,1
349,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,level,level_3,1
365,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,level,level_1,1
373,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,prerequisite,Course1_W5-S2-L1_Introduction_3-24,1
398,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,prerequisite,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,1
403,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,level,level_3,1
422,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,level,level_3,1
459,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,prerequisite,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,1
486,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,prerequisite,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,1
488,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,prerequisite,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,1
493,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,level,level_1,1
511,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,level,level_3,1
518,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,prerequisite,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,1
547,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,level,level_3,1
571,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,prerequisite,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,1
581,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,level,level_2,1
584,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,level,level_1,1
594,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,prerequisite,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,1
604,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,level,level_2,1
630,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,level,level_3,1
666,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,prerequisite,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,1
689,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,prerequisite,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,1
691,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,prerequisite,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,1
743,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,level,level_3,1
751,Course2_W8-S2-L1_What_is_Question_Answering_7-28,level,level_3,1
762,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,level,level_3,1
770,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,level,level_3,1
779,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,prerequisite,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,1
803,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,prerequisite,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,1
838,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,level,level_1,1
875,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20,prerequisite,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,1
