Unnamed: 0,head,variable,value,prob
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2064,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1808,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1777,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1978,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1152,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi876,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi976,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi918,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1431,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1032,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi694,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1667,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1711,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1571,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1475,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi839,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1747,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi351,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi288,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi5,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi967,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi254,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1683,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi508,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1610,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1999,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi983,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi258,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi866,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi125,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2009,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi560,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi773,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1588,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1776,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1387,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1685,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi226,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi2014,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1449,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1315,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1763,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi145,0.07
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi1086,0.07
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1978,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1431,0.18
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi835,0.18
