,head,variable,value
7654,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,level,level_3
7234,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,l_text_topics,topic_4
7767,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,level,level_1
7304,Course1_W3-S2-L1_Introduction_1-12,prerequisite,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20
7822,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,level,level_2
7521,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20,prerequisite,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05
7817,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi1945
6983,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,prerequisite,Course3_W1-S1-L6_-_Background_-_11_slides_16-55
7639,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,level,level_3
7474,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,prerequisite,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32
7828,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,level,level_3
7770,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,prerequisite,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45
7725,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,level,level_2
7851,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,prerequisite,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36
7727,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,level,level_3
7731,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,prerequisite,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33
7539,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,level,level_3
7611,Course3_W3-S1-L4_-_Dimensionality_Reduction_-_38_slides_23-50,level,level_2
7705,Course2_W6-S1-L3_CKY_Parsing_23-25,level,level_3
