,head,variable,value
0,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi1840
1,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,l_text_topics,topic_5
2,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi1926
3,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1132
4,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,concept_vocab_index,vi175
5,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20,concept_vocab_index,vi1842
6,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi1003
7,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi129
8,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,level,level_3
9,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,level,level_1
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi204
11,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,concept_vocab_index,vi1407
12,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi175
13,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,concept_vocab_index,vi751
14,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,concept_vocab_index,vi1313
15,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,concept_vocab_index,vi1033
16,Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,concept_vocab_index,vi1754
17,Course3_W3-S1-L4_-_Dimensionality_Reduction_-_38_slides_23-50,concept_vocab_index,vi129
18,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi517
19,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi173
20,Course1_W5-S1-L3_Challenges_in_MT_8-06,l_text_topics,topic_2
21,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16,concept_vocab_index,vi1880
22,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,concept_vocab_index,vi131
23,Course2_W6-S2-L2_Charniaks_Model_18-23,concept_vocab_index,vi1842
24,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,concept_vocab_index,vi751
25,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,concept_vocab_index,vi1132
26,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,concept_vocab_index,vi318
27,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi675
28,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,l_text_topics,topic_5
29,Course1_W1-S3-L5_Summary_2-31,concept_vocab_index,vi602
30,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1334
31,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_2
32,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1342
33,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi1740
34,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi1200
35,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi4
36,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_7
37,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,l_text_topics,topic_12
38,Course1_W7-S1-L2_Two_Example_Problems_11-19,prerequisite,Course1_W7-S1-L1_Introduction_0-47
39,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi192
40,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,concept_vocab_index,vi129
41,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1147
42,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,concept_vocab_index,vi1673
43,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi193
44,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,concept_vocab_index,vi435
45,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,concept_vocab_index,vi167
46,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,concept_vocab_index,vi1003
47,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,prerequisite,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53
48,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,concept_vocab_index,vi299
49,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,concept_vocab_index,vi142
50,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_13
51,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,concept_vocab_index,vi1674
52,Course2_W8-S3-L4_Summarizing_Multiple_Documents,concept_vocab_index,vi675
53,Course1_W2-S1-L8_Summary_1-50,concept_vocab_index,vi1693
54,Course2_W2-S1-L6_Interpolation_10-25,concept_vocab_index,vi1880
55,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi1200
56,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,concept_vocab_index,vi1313
57,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1503
58,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi675
59,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi672
