,head,variable,value
0,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi1740
1,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,l_text_topics,topic_2
2,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,l_text_topics,topic_8
3,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,concept_vocab_index,vi1073
4,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,concept_vocab_index,vi2039
5,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1945
6,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_4
7,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi903
8,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi1003
9,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,concept_vocab_index,vi1520
10,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi1212
11,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi129
12,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi798
13,Course1_W1-S2-L5_Trigram_Language_Models_9-40,level,level_1
14,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,concept_vocab_index,vi192
15,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_10
16,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_14
17,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi175
18,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,prerequisite,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39
19,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi197
20,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20,prerequisite,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21
21,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,concept_vocab_index,vi143
22,Course1_W9-S2-L1_Introduction_0-30,concept_vocab_index,vi1330
23,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi175
24,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,concept_vocab_index,vi1282
25,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi774
26,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,l_text_topics,topic_2
27,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,concept_vocab_index,vi1735
28,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06,concept_vocab_index,vi1132
29,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi1520
30,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi1282
31,Course1_W5-S2-L1_Introduction_3-24,level,level_1
32,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi751
33,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi129
34,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,concept_vocab_index,vi1707
35,Course1_W5-S1-L3_Challenges_in_MT_8-06,concept_vocab_index,vi1880
36,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,concept_vocab_index,vi1313
37,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,concept_vocab_index,vi1151
38,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,concept_vocab_index,vi892
39,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,concept_vocab_index,vi175
40,Course2_W1-S2-L5_Sentence_Segmentation_5-31,concept_vocab_index,vi2039
41,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,concept_vocab_index,vi18
42,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi90
43,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,concept_vocab_index,vi50
44,Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,l_text_topics,topic_0
45,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1707
46,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,concept_vocab_index,vi192
47,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi2039
48,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,level,level_3
49,Course2_W6-S2-L2_Charniaks_Model_18-23,concept_vocab_index,vi347
50,Course1_W10-S2-L7_Summary_2-50,concept_vocab_index,vi1003
51,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,l_text_topics,topic_8
52,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,concept_vocab_index,vi892
53,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi0
54,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi1200
55,Course2_W4-S1-L1_Generative_vs,concept_vocab_index,vi892
56,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,concept_vocab_index,vi675
57,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,concept_vocab_index,vi892
58,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi549
59,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,concept_vocab_index,vi903
60,Course1_W9-S2-L5_GLMs_for_Parse_Reranking_10-36,concept_vocab_index,vi0
61,Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,concept_vocab_index,vi1073
62,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,concept_vocab_index,vi1003
63,Course3_W5-S1-L2_-_Prepositional_phrase_attachment_1-3_-_15_slides_14-50,concept_vocab_index,vi1132
64,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1282
65,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi592
66,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi1295
67,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1295
68,Course1_W8-S2-L2_Conditional_History-based_Models_7-14,concept_vocab_index,vi1673
69,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi1200
70,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,prerequisite,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29
71,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,concept_vocab_index,vi767
72,Course2_W6-S2-L2_Charniaks_Model_18-23,concept_vocab_index,vi1600
73,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,concept_vocab_index,vi1349
74,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_2
75,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16,concept_vocab_index,vi233
76,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_8
77,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,concept_vocab_index,vi1407
78,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,concept_vocab_index,vi892
79,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,concept_vocab_index,vi460
80,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1758
81,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi318
82,Course1_W6-S2-L5_The_Decoding_Algorithm_Part_2_6-23,concept_vocab_index,vi1740
83,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,concept_vocab_index,vi192
84,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi175
85,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi1874
86,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1220
87,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi1886
88,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,concept_vocab_index,vi1033
89,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,concept_vocab_index,vi1740
90,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi675
91,Course1_W2-S1-L1_The_Tagging_Problem_10-01,concept_vocab_index,vi2039
92,Course1_W5-S1-L3_Challenges_in_MT_8-06,concept_vocab_index,vi1132
93,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,concept_vocab_index,vi1056
94,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi52
95,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,concept_vocab_index,vi318
96,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,concept_vocab_index,vi892
97,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi1740
98,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi192
99,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,concept_vocab_index,vi1071
100,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,concept_vocab_index,vi751
101,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,concept_vocab_index,vi1740
102,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1503
103,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20,concept_vocab_index,vi1073
104,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi1313
105,Course3_W6-S1-L2_-_Bayes_Theorem_-_8_slides_10-48,concept_vocab_index,vi1880
