,head,variable,value
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_1
1,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_2
2,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_6
3,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_7
4,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_9
5,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_11
6,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_14
7,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_1
8,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_2
9,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_7
10,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_9
11,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_10
12,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_5
13,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_7
14,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_9
15,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_13
16,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_1
17,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_6
18,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_9
19,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_13
20,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_12
21,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_13
22,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,l_text_topics,topic_12
23,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,l_text_topics,topic_13
24,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_13
25,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_13
26,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_13
27,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_6
28,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_13
29,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_5
30,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_13
31,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,l_text_topics,topic_5
32,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,l_text_topics,topic_12
33,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,l_text_topics,topic_13
34,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_4
35,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_13
36,Course1_W10-S1-L1_Introduction_1-02,l_text_topics,topic_2
37,Course1_W10-S1-L1_Introduction_1-02,l_text_topics,topic_8
38,Course1_W10-S1-L2_Recap_of_GLMs_7-40,l_text_topics,topic_8
39,Course1_W10-S1-L2_Recap_of_GLMs_7-40,l_text_topics,topic_13
40,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_2
41,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_8
42,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_9
43,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,l_text_topics,topic_8
44,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,l_text_topics,topic_11
45,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06,l_text_topics,topic_8
46,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_2
47,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_8
48,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_11
49,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_2
50,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_8
51,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_2
52,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_1
53,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_2
54,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_4
55,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_9
56,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_2
57,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_8
58,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_2
59,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_8
60,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,l_text_topics,topic_2
61,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,l_text_topics,topic_8
62,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_2
63,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_8
64,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_13
65,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_1
66,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_2
67,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_8
68,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_9
